model,prompt_version,run_id,population_score,population_explicit,intervention_score,intervention_explicit,comparator_score,comparator_explicit,outcomes_score,outcomes_explicit,study_design_score,study_design_explicit,total_picos_score
deepseek_deepseek-r1-0528:free,picos_baseline,1,2,True,2,True,2,True,2,True,1,True,9
deepseek_deepseek-r1-0528:free,picos_baseline,2,0,False,0,False,0,False,0,False,0,False,0
deepseek_deepseek-r1-0528:free,picos_baseline,3,2,True,2,True,2,True,2,True,2,True,10
deepseek_deepseek-r1-0528:free,picos_evidence,1,1,False,1,False,1,False,1,False,0,False,4
deepseek_deepseek-r1-0528:free,picos_evidence,2,1,False,1,False,1,False,1,False,1,False,5
deepseek_deepseek-r1-0528:free,picos_evidence,3,1,False,1,False,1,False,1,False,1,False,5
deepseek_deepseek-r1-0528:free,picos_structured,1,2,True,2,True,2,True,2,True,2,True,10
deepseek_deepseek-r1-0528:free,picos_structured,2,1,False,1,False,1,False,1,False,1,False,5
deepseek_deepseek-r1-0528:free,picos_structured,3,2,True,2,True,2,True,2,True,2,True,10
openai_gpt-oss-120b:free,picos_baseline,1,2,True,2,True,2,True,2,True,0,False,8
openai_gpt-oss-120b:free,picos_baseline,2,2,True,2,True,2,True,2,True,2,True,10
openai_gpt-oss-120b:free,picos_baseline,3,2,True,2,True,2,True,2,True,2,True,10
openai_gpt-oss-120b:free,picos_evidence,1,1,False,1,False,1,False,1,False,0,False,4
openai_gpt-oss-120b:free,picos_evidence,2,1,False,1,False,1,False,1,False,1,False,5
openai_gpt-oss-120b:free,picos_evidence,3,0,False,0,False,0,False,1,False,0,False,1
openai_gpt-oss-120b:free,picos_structured,1,2,True,2,True,2,True,2,True,2,True,10
openai_gpt-oss-120b:free,picos_structured,2,1,False,1,False,1,False,1,False,1,False,5
openai_gpt-oss-120b:free,picos_structured,3,1,False,1,False,1,False,1,False,1,False,5
qwen_qwen3-4b:free,picos_baseline,1,2,True,1,True,0,False,0,False,0,False,3
qwen_qwen3-4b:free,picos_baseline,2,1,True,0,False,0,False,0,False,0,False,1
qwen_qwen3-4b:free,picos_baseline,3,2,True,1,True,1,True,2,True,2,True,8
qwen_qwen3-4b:free,picos_evidence,1,1,False,1,False,1,False,1,False,1,False,5
qwen_qwen3-4b:free,picos_evidence,2,1,False,1,False,1,False,1,False,1,False,5
qwen_qwen3-4b:free,picos_evidence,3,1,False,1,False,1,False,1,False,0,False,4
qwen_qwen3-4b:free,picos_structured,1,2,True,0,False,0,False,0,False,0,False,2
qwen_qwen3-4b:free,picos_structured,2,2,True,2,True,2,True,2,True,2,True,10
qwen_qwen3-4b:free,picos_structured,3,2,True,0,False,0,False,0,False,0,False,2
